component,variance_ratio
component_1,0.5085723147703668
component_2,0.25614385311997767
component_3,0.1005348144937558
component_4,0.0722252212194948
component_5,0.014013369455472794
component_6,0.012627007765067335
component_7,0.01104723092974029
component_8,0.006169615147483678
component_9,0.004974315987652801
component_10,0.004012362254917459
component_11,0.0028348242524352703
component_12,0.0020955480091645884
component_13,0.001425103269252503
component_14,0.0008032227287261694
component_15,0.0006920486713621248
component_16,0.0006111277092304951
component_17,0.0005146768589677216
component_18,0.0004884830763568082
component_19,0.00021486028057503522
